"Date","Contest_names","contest_row_index","max_entry"
"2017-04-19","$5.00entry_MLB$5DoubleUp","65","100"
"2017-04-21","$5.00entry_MLB$5DoubleUp","159","100"
"2017-04-22","$5.00entry_MLB$5DoubleUp","186","75"
"2017-04-24","$5.00entry_MLB$5DoubleUp","211","100"
"2017-04-25","$5.00entry_MLB$5DoubleUp","241","100"
"2017-04-26","$5.00entry_MLB$5DoubleUp","287","100"
"2017-04-28","$5.00entry_MLB$5DoubleUp","343","100"
"2017-04-30","$5.00entry_MLB$5DoubleUp","403","50"
"2017-05-01","$5.00entry_MLB$5DoubleUp","431","50"
"2017-05-02","$5.00entry_MLB$5DoubleUp","459","100"
"2017-05-03","$5.00entry_MLB$5DoubleUp","486","100"
"2017-05-04","$5.00entry_MLB$5DoubleUp","513","50"
"2017-05-05","$5.00entry_MLB$5DoubleUp","543","100"
"2017-05-06","$5.00entry_MLB$5DoubleUp","580","50"
"2017-05-07","$5.00entry_MLB$5DoubleUp","612","50"
"2017-05-08","$5.00entry_MLB$5DoubleUp","647","100"
"2017-05-09","$5.00entry_MLB$5DoubleUp","675","100"
"2017-05-12","$5.00entry_MLB$5DoubleUp","784","100"
"2017-05-17","$5.00entry_MLB$5DoubleUp","980","100"
"2017-05-28","$5.00entry_MLB$5DoubleUp","1212","50"
"2017-05-30","$5.00entry_MLB$5DoubleUp","1260","100"
"2017-05-31","$5.00entry_MLB$5DoubleUp","1283","100"
"2017-06-01","$5.00entry_MLB$5DoubleUp","1321","50"
"2017-06-02","$5.00entry_MLB$5DoubleUp","1335","100"
"2017-06-04","$5.00entry_MLB$5DoubleUp","1386","50"
"2017-06-05","$5.00entry_MLBGIANT$5DoubleUp","1413","100"
"2017-06-06","$5.00entry_MLB$5DoubleUp","1442","100"
"2017-06-07","$5.00entry_MLB$5DoubleUp","1474","100"
"2017-06-08","$5.00entry_MLB$5DoubleUp","1503","50"
"2017-06-09","$5.00entry_MLB$5DoubleUp","1531","50"
"2017-06-10","$5.00entry_MLB$5DoubleUp","1584","30"
"2017-06-11","$5.00entry_MLB$5DoubleUp","1601","50"
"2017-06-12","$5.00entry_MLBGIANT$5DoubleUp","1629","100"
"2017-06-18","$5.00entry_MLB$5DoubleUp","1818","50"
"2017-06-25","$5.00entry_MLB$5DoubleUp","2041","45"
"2017-06-26","$5.00entry_MLB$5DoubleUp","2075","100"
"2017-06-27","$5.00entry_MLB$5DoubleUp","2108","100"
"2017-06-29","$5.00entry_MLB$5DoubleUp","2158","50"
"2017-06-30","$5.00entry_MLB$5DoubleUp","2174","50"
"2017-07-01","$5.00entry_MLB$5DoubleUp","2216","30"
"2017-07-02","$5.00entry_MLB$5DoubleUp","2240","30"
"2017-07-04","$5.00entry_MLB$5DoubleUp","2263","50"
"2017-07-05","$5.00entry_MLB$5DoubleUp","2302","50"
"2017-07-06","$5.00entry_MLB$5DoubleUp","2342","50"
"2017-07-07","$5.00entry_MLB$5DoubleUp","2361","50"
"2017-07-08","$5.00entry_MLB$5DoubleUp(Early)","2392","25"
"2017-07-15","$5.00entry_MLB$5DoubleUp","2463","50"
"2017-07-18","$5.00entry_MLB$5DoubleUp","2504","100"
