"Date","PnL"
2017-04-16,-4340
2017-04-17,-3670
2017-04-18,-1510
2017-04-19,-2845
2017-04-21,-2830
2017-04-22,-5080
2017-04-24,-3500
2017-04-25,-3960
2017-04-26,55080
2017-04-28,-3720
2017-04-30,-5475
2017-05-01,-3310
2017-05-02,-3680
2017-05-03,-3770
2017-05-04,13275
2017-05-05,3665
2017-05-06,-4670
2017-05-07,970
2017-05-08,-1014
2017-05-09,-1300
2017-05-12,-5090
2017-05-17,-5245
2017-05-21,-3850
2017-05-23,-517
2017-05-24,-4070
2017-05-28,-6160
2017-05-30,111420
2017-05-31,20
2017-06-01,-516
2017-06-02,-4645
2017-06-04,-6090
2017-06-05,-3790
2017-06-06,50795
2017-06-07,-3410
2017-06-08,-2870
2017-06-09,-4200
2017-06-10,-3760
2017-06-11,-700
2017-06-12,25665
2017-06-13,85
2017-06-14,-550
2017-06-15,-2480
2017-06-16,-2495
2017-06-18,-2825
2017-06-25,-3960
2017-06-26,-1350
2017-06-27,-2725
2017-06-29,-3705
2017-06-30,-240
2017-07-01,9400
2017-07-02,-5450
2017-07-03,2145
2017-07-04,-391
2017-07-05,7780
2017-07-06,-1605
2017-07-07,-3560
2017-07-08,-619
2017-07-14,-3680
