"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Broncos  (0000000)","Broncos ",0,3800,"Atl@Den 00:00PM ET","Den","Broncos","","Atl",11.22,10
"DST","Cardinals  (0000000)","Cardinals ",0,3700,"Ari@SF 00:00PM ET","Ari","Cardinals","","SF",9.58,9.4
"DST","Patriots  (0000000)","Patriots ",0,3700,"NE@Cle 00:00PM ET","NE","Patriots","","Cle",10.43,8.9
"DST","Steelers  (0000000)","Steelers ",0,3500,"NYJ@Pit 00:00PM ET","Pit","Steelers","","NYJ",9.88,9.9
"DST","Vikings  (0000000)","Vikings ",0,3400,"Hou@Min 00:00PM ET","Min","Vikings","","Hou",13.18,9.1
"DST","Panthers  (0000000)","Panthers ",0,3300,"TB@Car 00:00PM ET","Car","Panthers","","TB",12.08,10.7
"DST","Rams  (0000000)","Rams ",0,3200,"Buf@LA 00:00PM ET","LA","Rams","","Buf",9.58,6.6
"DST","Packers  (0000000)","Packers ",0,3200,"NYG@GB 00:00PM ET","GB","Packers","","NYG",8.91,8.4
"DST","Bills  (0000000)","Bills ",0,3100,"Buf@LA 00:00PM ET","Buf","Bills","","LA",9.2,7
"DST","Ravens  (0000000)","Ravens ",0,3000,"Was@Bal 00:00PM ET","Bal","Ravens","","Was",9.86,6.4
"DST","Texans  (0000000)","Texans ",0,3000,"Hou@Min 00:00PM ET","Hou","Texans","","Min",8.61,6.8
"DST","Eagles  (0000000)","Eagles ",0,2900,"Phi@Det 00:00PM ET","Phi","Eagles","","Det",9.22,7.4
"DST","Dolphins  (0000000)","Dolphins ",0,2900,"Ten@Mia 00:00PM ET","Mia","Dolphins","","Ten",8.86,6.3
"DST","Jets  (0000000)","Jets ",0,2800,"NYJ@Pit 00:00PM ET","NYJ","Jets","","Pit",5.82,7
"DST","Bengals  (0000000)","Bengals ",0,2800,"Cin@Dal 00:00PM ET","Cin","Bengals","","Dal",6.42,7.2
"DST","Redskins  (0000000)","Redskins ",0,2700,"Was@Bal 00:00PM ET","Was","Redskins","","Bal",5.25,8.6
"DST","Cowboys  (0000000)","Cowboys ",0,2700,"Cin@Dal 00:00PM ET","Dal","Cowboys","","Cin",6.3,4.6
"DST","49ers  (0000000)","49ers ",0,2600,"Ari@SF 00:00PM ET","SF","49ers","","Ari",5.97,7.5
"DST","Colts  (0000000)","Colts ",0,2600,"Chi@Ind 00:00PM ET","Ind","Colts","","Chi",8.28,6.9
"DST","Giants  (0000000)","Giants ",0,2600,"NYG@GB 00:00PM ET","NYG","Giants","","GB",5.99,6.5
"DST","Lions  (0000000)","Lions ",0,2500,"Phi@Det 00:00PM ET","Det","Lions","","Phi",7.49,6.8
"DST","Titans  (0000000)","Titans ",0,2400,"Ten@Mia 00:00PM ET","Ten","Titans","","Mia",6.96,6
"DST","Raiders  (0000000)","Raiders ",0,2400,"SD@Oak 00:00PM ET","Oak","Raiders","","SD",6.22,6.9
"DST","Buccaneers  (0000000)","Buccaneers ",0,2400,"TB@Car 00:00PM ET","TB","Buccaneers","","Car",4.72,6
"DST","Falcons  (0000000)","Falcons ",0,2300,"Atl@Den 00:00PM ET","Atl","Falcons","","Den",6.52,6
"DST","Browns  (0000000)","Browns ",0,2200,"NE@Cle 00:00PM ET","Cle","Browns","","NE",4.79,5.1
"DST","Bears  (0000000)","Bears ",0,2200,"Chi@Ind 00:00PM ET","Chi","Bears","","Ind",4.85,5.2
"DST","Chargers  (0000000)","Chargers ",0,2100,"SD@Oak 00:00PM ET","SD","Chargers","","Oak",6.74,5.8
